shipment_id,product_id,carrier_id,route_id,shipment_date,promised_delivery_date,actual_delivery_date,quantity_shipped,quantity_delivered,shipment_value_usd
S005024,P010,C05,R030,2024-06-12,2024-06-15,2024-06-19,57,57,319200
S005025,P003,C06,R007,2024-01-03,2024-01-05,2024-01-05,147,147,6174
S005026,P012,C09,R029,2024-12-28,2024-12-29,2024-12-29,297,297,1182060
S005027,P020,C02,R025,2024-02-27,2024-02-28,2024-02-28,372,372,5580
S005028,P001,C08,R010,2023-02-23,2023-02-28,2023-02-28,490,490,71050
S005029,P016,C06,R019,2023-12-11,2023-12-12,2023-12-12,315,315,1045800
S005030,P018,C05,R019,2023-02-22,2023-02-23,2023-02-23,352,352,11968
S005031,P012,C10,R030,2023-08-30,2023-09-02,2023-09-02,490,490,1950200
S005032,P015,C10,R037,2023-09-27,2023-09-28,2023-09-28,151,151,400150
S005033,P001,C04,R009,2024-09-29,2024-09-30,2024-09-30,308,308,44660
S005034,P020,C10,R019,2023-09-29,2023-09-30,2023-09-30,116,116,1740
S005035,P013,C10,R024,2022-10-06,2022-10-11,2022-10-11,250,250,468750
S005036,P019,C10,R041,2024-09-04,2024-09-05,2024-09-05,98,98,2229.5
S005037,P010,C05,R018,2024-09-12,2024-09-16,2024-09-19,49,49,274400
S005038,P008,C03,R014,2023-10-24,2023-10-28,2023-10-28,492,492,140220
S005039,P003,C03,R049,2024-11-20,2024-11-21,2024-11-21,340,340,14280
S005040,P012,C05,R028,2024-10-27,2024-10-30,2024-10-30,174,174,692520
S005041,P012,C02,R019,2022-12-23,2022-12-24,2022-12-24,355,355,1412900
S005042,P014,C07,R041,2024-05-19,2024-05-20,2024-05-20,209,209,1295800
S005043,P016,C09,R045,2024-07-24,2024-07-25,2024-07-25,108,108,358560
S005044,P001,C07,R050,2023-10-17,2023-10-21,2023-10-21,427,427,61915
S005045,P017,C01,R043,2024-08-08,2024-08-09,2024-08-09,433,433,8010.5
S005046,P003,C01,R032,2024-09-20,2024-09-23,2024-09-23,279,279,11718
S005047,P020,C03,R025,2024-06-10,2024-06-11,2024-06-11,124,124,1860
S005048,P011,C04,R033,2024-03-28,2024-03-29,2024-03-29,152,152,439280
S005049,P004,C07,R027,2024-05-29,2024-05-31,2024-05-31,79,79,6023.75
S005050,P005,C09,R003,2024-09-29,2024-09-30,2024-09-30,193,193,40530
S005051,P013,C05,R016,2023-09-16,2023-09-21,2023-09-21,445,445,834375
S005052,P015,C05,R037,2024-02-05,2024-02-06,2024-02-06,191,191,506150
S005053,P014,C02,R025,2023-12-07,2023-12-08,2023-12-08,76,76,471200
S005054,P020,C01,R024,2023-09-29,2023-10-04,2023-10-05,465,465,6975
S005055,P015,C07,R010,2023-09-20,2023-09-25,2023-09-25,491,491,1301150
S005056,P009,C09,R022,2023-02-04,2023-02-08,2023-02-10,141,141,43710
S005057,P018,C10,R024,2022-09-02,2022-09-07,2022-09-11,276,276,9384
S005058,P006,C07,R033,2023-12-20,2023-12-21,2023-12-21,365,365,1533000
S005059,P012,C03,R038,2024-10-29,2024-11-02,2024-11-02,289,289,1150220
S005060,P006,C03,R045,2023-06-24,2023-06-25,2023-06-25,443,443,1860600
S005061,P003,C05,R036,2022-10-08,2022-10-13,2022-10-13,172,172,7224
S005062,P002,C06,R050,2023-08-17,2023-08-21,2023-08-25,77,77,7584.5
S005063,P011,C09,R015,2024-12-20,2024-12-21,2024-12-21,116,116,335240
S005064,P015,C04,R004,2022-10-27,2022-10-31,2022-10-31,471,471,1248150
S005065,P006,C01,R039,2023-10-11,2023-10-12,2023-10-12,225,225,945000
S005066,P005,C04,R006,2023-12-24,2023-12-28,2023-12-28,447,447,93870
S005067,P005,C05,R047,2023-05-12,2023-05-13,2023-05-17,39,39,8190
S005068,P007,C01,R012,2022-11-24,2022-11-26,2022-11-26,420,420,1323000
S005069,P009,C06,R005,2022-01-27,2022-01-28,2022-01-28,44,44,13640
S005070,P008,C08,R004,2024-04-08,2024-04-12,2024-04-12,399,399,113715
S005071,P002,C03,R020,2024-07-06,2024-07-10,2024-07-10,318,318,31323
S005072,P014,C03,R019,2024-01-27,2024-01-28,2024-01-28,131,131,812200
S005073,P008,C10,R050,2024-11-22,2024-11-26,2024-11-26,101,101,28785
S005074,P018,C06,R044,2024-09-14,2024-09-19,2024-09-19,443,443,15062
S005075,P017,C06,R024,2023-06-04,2023-06-09,2023-06-09,118,104,2183
S005076,P008,C06,R006,2023-12-13,2023-12-17,2023-12-21,54,54,15390
S005077,P018,C07,R008,2024-09-05,2024-09-07,2024-09-07,115,115,3910
S005078,P014,C02,R010,2024-01-07,2024-01-12,2024-01-12,38,38,235600
S005079,P003,C05,R025,2024-09-30,2024-10-01,2024-10-01,262,262,11004
S005080,P010,C03,R037,2024-01-02,2024-01-03,2024-01-03,306,306,1713600
S005081,P016,C05,R042,2024-11-21,2024-11-25,2024-11-25,322,322,1069040
S005082,P013,C05,R046,2024-12-16,2024-12-19,2024-12-19,415,415,778125
S005083,P018,C03,R014,2024-10-31,2024-11-04,2024-11-04,420,420,14280
S005084,P020,C05,R024,2023-11-04,2023-11-09,2023-11-13,149,149,2235
S005085,P006,C01,R049,2023-09-30,2023-10-01,2023-10-01,399,399,1675800
S005086,P005,C02,R030,2023-09-17,2023-09-20,2023-09-20,486,486,102060
S005087,P009,C04,R002,2024-08-10,2024-08-14,2024-08-14,46,46,14260
S005088,P019,C05,R047,2024-12-25,2024-12-26,2024-12-28,471,471,10715.25
S005089,P001,C02,R005,2022-06-21,2022-06-22,2022-06-22,106,106,15370
S005090,P007,C01,R047,2022-12-31,2023-01-01,2023-01-01,277,277,872550
S005091,P015,C04,R011,2023-02-20,2023-02-21,2023-02-21,372,372,985800
S005092,P004,C07,R016,2024-12-06,2024-12-11,2024-12-11,278,278,21197.5
S005093,P008,C01,R023,2022-06-07,2022-06-08,2022-06-08,253,253,72105
S005094,P008,C03,R012,2024-04-21,2024-04-23,2024-04-23,31,31,8835
S005095,P001,C04,R012,2023-06-17,2023-06-19,2023-06-19,467,467,67715
S005096,P004,C05,R036,2024-03-09,2024-03-14,2024-03-15,160,160,12200
S005097,P019,C01,R027,2023-08-08,2023-08-10,2023-08-10,354,354,8053.5
S005098,P015,C09,R026,2023-09-25,2023-09-27,2023-09-27,338,338,895700
S005099,P009,C08,R026,2024-12-06,2024-12-08,2024-12-08,75,75,23250
S005100,P008,C03,R019,2023-06-18,2023-06-19,2023-06-19,152,152,43320
S005101,P003,C05,R038,2024-06-21,2024-06-25,2024-06-27,221,221,9282
S005102,P004,C07,R020,2024-08-19,2024-08-23,2024-08-23,138,138,10522.5
S005103,P015,C06,R046,2024-06-24,2024-06-27,2024-06-30,407,407,1078550
S005104,P010,C07,R030,2023-06-07,2023-06-10,2023-06-10,38,38,212800
S005105,P018,C06,R007,2024-10-31,2024-11-02,2024-11-05,426,426,14484
S005106,P020,C05,R026,2023-07-30,2023-08-01,2023-08-01,426,426,6390
S005107,P015,C06,R024,2024-06-05,2024-06-10,2024-06-10,319,319,845350
S005108,P012,C08,R002,2023-06-10,2023-06-14,2023-06-14,397,397,1580060
S005109,P010,C05,R015,2024-12-25,2024-12-26,2024-12-30,116,116,649600
S005110,P018,C06,R042,2024-07-02,2024-07-06,2024-07-06,353,353,12002
S005111,P008,C08,R021,2024-01-04,2024-01-05,2024-01-05,348,348,99180
S005112,P019,C04,R024,2024-12-29,2025-01-03,2025-01-03,470,470,10692.5
S005113,P011,C06,R018,2024-12-14,2024-12-18,2024-12-19,338,338,976820
S005114,P014,C02,R017,2023-04-28,2023-04-29,2023-04-29,198,198,1227600
S005115,P013,C06,R038,2022-07-15,2022-07-19,2022-07-19,75,75,140625
S005116,P011,C05,R034,2024-02-09,2024-02-13,2024-02-13,281,281,812090
S005117,P017,C10,R004,2023-09-03,2023-09-07,2023-09-07,144,144,2664
S005118,P006,C06,R030,2024-10-05,2024-10-08,2024-10-08,396,396,1663200
S005119,P007,C07,R028,2024-12-11,2024-12-14,2024-12-14,266,266,837900
S005120,P010,C01,R025,2024-02-18,2024-02-19,2024-02-19,421,421,2357600
S005121,P007,C10,R020,2023-04-21,2023-04-25,2023-04-26,173,173,544950
S005122,P007,C03,R027,2024-06-21,2024-06-23,2024-06-23,274,274,863100
S005123,P002,C05,R036,2024-02-04,2024-02-09,2024-02-13,476,476,46886
S005124,P015,C07,R001,2024-05-19,2024-05-20,2024-05-20,218,218,577700
S005125,P011,C10,R003,2023-07-14,2023-07-15,2023-07-15,254,254,734060
S005126,P002,C05,R007,2023-01-06,2023-01-08,2023-01-12,325,325,32012.5
S005127,P009,C04,R031,2024-09-08,2024-09-09,2024-09-09,255,255,79050
S005128,P017,C02,R001,2023-12-12,2023-12-13,2023-12-13,159,159,2941.5
S005129,P001,C04,R003,2022-12-13,2022-12-14,2022-12-14,103,103,14935
S005130,P018,C05,R026,2024-12-03,2024-12-05,2024-12-05,116,116,3944
S005131,P003,C08,R046,2023-11-12,2023-11-15,2023-11-15,181,181,7602
S005132,P014,C08,R032,2024-10-07,2024-10-10,2024-10-10,21,19,130200
S005133,P009,C02,R040,2024-03-09,2024-03-12,2024-03-12,112,112,34720
S005134,P005,C06,R032,2024-01-16,2024-01-19,2024-01-19,205,205,43050
S005135,P013,C04,R015,2024-09-04,2024-09-05,2024-09-05,168,168,315000
S005136,P002,C01,R002,2024-08-06,2024-08-10,2024-08-10,220,220,21670
S005137,P019,C08,R024,2024-07-28,2024-08-02,2024-08-02,459,459,10442.25
S005138,P005,C10,R005,2024-12-05,2024-12-06,2024-12-06,43,43,9030
S005139,P007,C07,R028,2023-03-08,2023-03-11,2023-03-13,376,376,1184400
S005140,P005,C04,R025,2023-08-11,2023-08-12,2023-08-12,133,133,27930
S005141,P001,C04,R038,2023-09-07,2023-09-11,2023-09-11,281,281,40745
S005142,P005,C01,R032,2023-10-02,2023-10-05,2023-10-05,173,173,36330
S005143,P016,C10,R017,2023-06-04,2023-06-05,2023-06-05,198,198,657360
S005144,P006,C02,R047,2023-12-02,2023-12-03,2023-12-03,133,133,558600
S005145,P007,C09,R028,2023-02-04,2023-02-07,2023-02-07,408,408,1285200
S005146,P019,C03,R022,2024-03-23,2024-03-27,2024-03-27,72,72,1638
S005147,P003,C04,R049,2023-08-31,2023-09-01,2023-09-01,158,158,6636
S005148,P003,C05,R018,2022-09-25,2022-09-29,2022-09-29,247,247,10374
S005149,P014,C05,R022,2023-12-03,2023-12-07,2023-12-07,54,54,334800
S005150,P003,C03,R029,2024-05-31,2024-06-01,2024-06-01,66,66,2772
S005151,P010,C03,R031,2023-10-01,2023-10-02,2023-10-02,424,424,2374400
S005152,P004,C07,R037,2023-05-17,2023-05-18,2023-05-18,124,124,9455
S005153,P001,C05,R022,2024-02-20,2024-02-24,2024-02-24,95,95,13775
S005154,P020,C10,R026,2024-08-03,2024-08-05,2024-08-05,186,186,2790
S005155,P003,C02,R015,2023-07-21,2023-07-22,2023-07-22,225,225,9450
S005156,P009,C10,R045,2023-11-28,2023-11-29,2023-11-29,426,426,132060
S005157,P002,C10,R044,2024-05-23,2024-05-28,2024-05-28,174,174,17139
S005158,P012,C10,R030,2024-11-14,2024-11-17,2024-11-17,112,112,445760
S005159,P017,C02,R038,2024-06-07,2024-06-11,2024-06-15,414,414,7659
S005160,P004,C05,R045,2023-08-08,2023-08-09,2023-08-09,35,35,2668.75
S005161,P019,C05,R021,2022-07-29,2022-07-30,2022-08-02,197,197,4481.75
S005162,P013,C06,R036,2022-07-01,2022-07-06,2022-07-06,262,262,491250
S005163,P010,C02,R023,2024-05-11,2024-05-12,2024-05-12,265,265,1484000
S005164,P018,C04,R040,2024-06-09,2024-06-12,2024-06-14,337,337,11458
S005165,P014,C10,R010,2023-08-14,2023-08-19,2023-08-19,396,396,2455200
S005166,P007,C08,R012,2023-11-24,2023-11-26,2023-11-28,307,307,967050
S005167,P001,C10,R024,2023-08-18,2023-08-23,2023-08-23,318,318,46110
S005168,P013,C10,R036,2024-09-28,2024-10-03,2024-10-03,141,141,264375
S005169,P020,C02,R049,2023-11-04,2023-11-05,2023-11-05,380,380,5700
S005170,P002,C08,R018,2022-08-20,2022-08-24,2022-08-24,335,335,32997.5
S005171,P002,C06,R005,2024-10-25,2024-10-26,2024-10-26,225,225,22162.5
S005172,P002,C10,R009,2024-05-29,2024-05-30,2024-05-30,342,342,33687
S005173,P002,C10,R003,2024-06-21,2024-06-22,2024-06-22,269,269,26496.5
S005174,P017,C02,R014,2024-05-16,2024-05-20,2024-05-20,298,298,5513
S005175,P002,C05,R022,2024-08-07,2024-08-11,2024-08-11,200,200,19700
S005176,P012,C06,R036,2024-07-23,2024-07-28,2024-07-29,239,239,951220
S005177,P011,C05,R001,2024-03-30,2024-03-31,2024-03-31,332,332,959480
S005178,P005,C06,R025,2024-10-05,2024-10-06,2024-10-06,95,95,19950
S005179,P005,C05,R018,2024-07-30,2024-08-03,2024-08-05,251,251,52710
S005180,P002,C07,R030,2024-05-11,2024-05-14,2024-05-14,189,189,18616.5
S005181,P018,C01,R018,2023-04-29,2023-05-03,2023-05-03,297,297,10098
S005182,P010,C06,R001,2024-11-12,2024-11-13,2024-11-13,100,100,560000
S005183,P004,C03,R046,2024-08-23,2024-08-26,2024-08-26,42,42,3202.5
S005184,P016,C07,R003,2023-11-30,2023-12-01,2023-12-01,192,192,637440
S005185,P012,C02,R031,2024-06-03,2024-06-04,2024-06-04,361,361,1436780
S005186,P003,C03,R017,2024-07-29,2024-07-30,2024-07-30,277,277,11634
S005187,P020,C10,R009,2024-03-17,2024-03-18,2024-03-19,236,236,3540
S005188,P004,C06,R048,2024-03-07,2024-03-09,2024-03-11,105,105,8006.25
S005189,P015,C02,R049,2024-07-04,2024-07-05,2024-07-05,493,493,1306450
S005190,P012,C05,R011,2024-07-09,2024-07-10,2024-07-14,132,132,525360
S005191,P013,C10,R014,2024-04-01,2024-04-05,2024-04-05,87,87,163125
S005192,P019,C08,R040,2022-11-25,2022-11-28,2022-11-28,426,426,9691.5
S005193,P013,C05,R029,2024-01-12,2024-01-13,2024-01-13,121,121,226875
S005194,P001,C03,R014,2023-10-17,2023-10-21,2023-10-21,266,266,38570
S005195,P005,C05,R008,2024-01-17,2024-01-19,2024-01-21,358,358,75180
S005196,P020,C06,R036,2023-05-24,2023-05-29,2023-05-30,366,366,5490
S005197,P002,C08,R021,2024-05-04,2024-05-05,2024-05-05,215,215,21177.5
S005198,P019,C01,R022,2023-02-24,2023-02-28,2023-02-28,165,165,3753.75
S005199,P020,C03,R020,2024-02-16,2024-02-20,2024-02-20,258,258,3870
S005200,P011,C06,R037,2024-07-10,2024-07-11,2024-07-11,468,468,1352520
S005201,P015,C06,R008,2024-05-03,2024-05-05,2024-05-05,95,95,251750
S005202,P001,C03,R014,2024-04-06,2024-04-10,2024-04-10,23,23,3335
S005203,P016,C05,R038,2023-07-17,2023-07-21,2023-07-21,251,251,833320
S005204,P016,C03,R016,2024-12-16,2024-12-21,2024-12-24,352,352,1168640
S005205,P004,C02,R010,2024-12-01,2024-12-06,2024-12-06,132,132,10065
S005206,P004,C07,R013,2023-06-28,2023-06-29,2023-06-29,495,495,37743.75
S005207,P001,C05,R005,2024-04-17,2024-04-18,2024-04-18,367,367,53215
S005208,P018,C05,R019,2024-01-25,2024-01-26,2024-01-26,485,485,16490
S005209,P017,C04,R007,2023-09-24,2023-09-26,2023-09-26,151,151,2793.5
S005210,P004,C01,R033,2023-10-26,2023-10-27,2023-10-27,351,351,26763.75
S005211,P017,C06,R048,2024-10-02,2024-10-04,2024-10-04,76,76,1406
S005212,P020,C06,R001,2024-03-27,2024-03-28,2024-03-31,284,284,4260
S005213,P017,C07,R021,2023-01-11,2023-01-12,2023-01-12,462,462,8547
S005214,P013,C06,R048,2024-10-23,2024-10-25,2024-10-26,284,284,532500
S005215,P010,C06,R013,2023-05-06,2023-05-07,2023-05-07,311,311,1741600
S005216,P017,C09,R048,2024-12-11,2024-12-13,2024-12-13,184,184,3404
S005217,P006,C05,R036,2024-01-07,2024-01-12,2024-01-12,382,382,1604400
S005218,P005,C06,R015,2023-05-02,2023-05-03,2023-05-03,214,214,44940
S005219,P020,C01,R025,2023-11-18,2023-11-19,2023-11-19,280,280,4200
S005220,P005,C06,R038,2024-09-02,2024-09-06,2024-09-09,186,186,39060
S005221,P017,C06,R025,2024-10-03,2024-10-04,2024-10-04,368,368,6808
S005222,P020,C07,R042,2023-07-20,2023-07-24,2023-07-24,341,341,5115
S005223,P004,C10,R040,2023-08-29,2023-09-01,2023-09-01,384,384,29280
S005224,P017,C05,R019,2023-10-19,2023-10-20,2023-10-22,221,221,4088.5
S005225,P007,C07,R006,2024-11-04,2024-11-08,2024-11-09,111,111,349650
S005226,P017,C05,R002,2024-05-19,2024-05-23,2024-05-23,364,364,6734
S005227,P016,C05,R020,2023-05-01,2023-05-05,2023-05-05,193,193,640760
S005228,P006,C08,R013,2023-08-30,2023-08-31,2023-08-31,98,98,411600
S005229,P005,C04,R001,2023-04-16,2023-04-17,2023-04-17,125,125,26250
S005230,P015,C06,R040,2024-08-12,2024-08-15,2024-08-16,367,367,972550
S005231,P012,C09,R024,2024-03-16,2024-03-21,2024-03-21,350,350,1393000
S005232,P020,C08,R029,2024-07-06,2024-07-07,2024-07-07,434,434,6510
S005233,P005,C01,R011,2024-07-06,2024-07-07,2024-07-07,433,433,90930
S005234,P020,C10,R033,2024-07-23,2024-07-24,2024-07-24,364,364,5460
S005235,P014,C05,R048,2023-05-14,2023-05-16,2023-05-18,172,172,1066400
S005236,P005,C06,R039,2024-10-20,2024-10-21,2024-10-21,66,66,13860
S005237,P016,C07,R018,2024-12-03,2024-12-07,2024-12-07,370,370,1228400
S005238,P002,C07,R009,2024-11-19,2024-11-20,2024-11-20,475,475,46787.5
S005239,P011,C02,R015,2023-07-28,2023-07-29,2023-07-29,39,39,112710
S005240,P016,C02,R025,2024-04-30,2024-05-01,2024-05-01,35,35,116200
S005241,P012,C09,R036,2024-08-07,2024-08-12,2024-08-12,372,372,1480560
S005242,P001,C08,R039,2023-04-28,2023-04-29,2023-05-02,189,189,27405
S005243,P003,C03,R041,2023-11-01,2023-11-02,2023-11-02,290,290,12180
S005244,P011,C05,R012,2023-02-20,2023-02-22,2023-02-22,33,33,95370
S005245,P003,C05,R008,2024-05-31,2024-06-02,2024-06-02,421,421,17682
S005246,P004,C03,R023,2024-05-29,2024-05-30,2024-05-30,259,259,19748.75
S005247,P014,C08,R002,2024-08-13,2024-08-17,2024-08-17,456,456,2827200
S005248,P014,C06,R004,2024-05-16,2024-05-20,2024-05-20,146,146,905200
S005249,P004,C05,R043,2024-12-29,2024-12-30,2024-12-30,397,397,30271.25
S005250,P011,C02,R015,2024-10-10,2024-10-11,2024-10-11,310,310,895900
S005251,P005,C02,R019,2024-05-18,2024-05-19,2024-05-19,291,291,61110
S005252,P018,C03,R037,2023-07-24,2023-07-25,2023-07-25,62,62,2108
S005253,P008,C04,R035,2024-01-03,2024-01-05,2024-01-05,83,83,23655
S005254,P014,C05,R040,2022-11-27,2022-11-30,2022-11-30,82,82,508400
S005255,P019,C05,R028,2023-10-09,2023-10-12,2023-10-15,138,138,3139.5
S005256,P018,C06,R020,2024-06-22,2024-06-26,2024-06-26,57,57,1938
S005257,P013,C01,R022,2024-06-23,2024-06-27,2024-06-27,339,339,635625
S005258,P017,C09,R005,2024-12-30,2024-12-31,2024-12-31,321,321,5938.5
S005259,P002,C08,R019,2023-04-11,2023-04-12,2023-04-13,340,340,33490
S005260,P005,C07,R023,2023-11-26,2023-11-27,2023-11-27,201,201,42210
S005261,P001,C05,R037,2024-03-20,2024-03-21,2024-03-21,138,138,20010
S005262,P003,C06,R027,2024-11-24,2024-11-26,2024-11-26,393,393,16506
S005263,P017,C08,R042,2022-08-14,2022-08-18,2022-08-18,361,361,6678.5
S005264,P007,C05,R006,2024-01-10,2024-01-14,2024-01-14,435,435,1370250
S005265,P019,C10,R044,2023-11-03,2023-11-08,2023-11-08,412,412,9373
S005266,P007,C09,R022,2024-08-29,2024-09-02,2024-09-02,90,90,283500
S005267,P016,C04,R009,2024-10-18,2024-10-19,2024-10-19,29,29,96280
S005268,P005,C01,R007,2024-09-23,2024-09-25,2024-09-25,214,214,44940
S005269,P015,C01,R050,2024-12-13,2024-12-17,2024-12-17,246,246,651900
S005270,P013,C01,R025,2024-06-05,2024-06-06,2024-06-06,70,70,131250
S005271,P005,C09,R014,2023-04-23,2023-04-27,2023-05-01,115,115,24150
S005272,P006,C04,R031,2024-03-08,2024-03-09,2024-03-09,345,345,1449000
S005273,P010,C07,R019,2024-10-21,2024-10-22,2024-10-22,236,236,1321600
S005274,P017,C10,R039,2024-06-09,2024-06-10,2024-06-10,347,347,6419.5
S005275,P002,C05,R018,2022-12-22,2022-12-26,2022-12-26,412,412,40582
S005276,P009,C05,R002,2023-11-01,2023-11-05,2023-11-05,202,202,62620
S005277,P010,C08,R007,2023-01-25,2023-01-27,2023-01-29,154,154,862400
S005278,P002,C07,R028,2024-11-09,2024-11-12,2024-11-15,162,162,15957
S005279,P018,C10,R043,2022-04-14,2022-04-15,2022-04-15,103,103,3502
S005280,P002,C06,R031,2024-08-25,2024-08-26,2024-08-26,218,218,21473
S005281,P020,C07,R028,2023-11-07,2023-11-10,2023-11-10,157,157,2355
S005282,P017,C09,R024,2023-02-19,2023-02-24,2023-02-24,444,444,8214
S005283,P020,C03,R021,2023-05-26,2023-05-27,2023-05-27,90,90,1350
S005284,P008,C08,R045,2024-08-31,2024-09-01,2024-09-01,367,367,104595
S005285,P008,C06,R009,2023-10-30,2023-10-31,2023-10-31,205,205,58425
S005286,P002,C04,R020,2024-11-05,2024-11-09,2024-11-09,375,375,36937.5
S005287,P008,C06,R001,2023-01-20,2023-01-21,2023-01-21,396,396,112860
S005288,P009,C05,R028,2023-12-28,2023-12-31,2023-12-31,116,116,35960
S005289,P007,C06,R046,2023-05-07,2023-05-10,2023-05-10,205,205,645750
S005290,P016,C05,R036,2024-10-08,2024-10-13,2024-10-13,287,287,952840
S005291,P017,C02,R039,2024-10-27,2024-10-28,2024-10-28,277,277,5124.5
S005292,P020,C04,R016,2024-11-18,2024-11-23,2024-11-23,426,426,6390
S005293,P015,C06,R048,2024-12-29,2024-12-31,2024-12-31,156,156,413400
S005294,P012,C01,R009,2023-05-23,2023-05-24,2023-05-24,420,420,1671600
S005295,P009,C05,R038,2024-11-15,2024-11-19,2024-11-23,219,219,67890
S005296,P009,C03,R009,2022-12-05,2022-12-06,2022-12-06,406,406,125860
S005297,P007,C06,R010,2023-11-20,2023-11-25,2023-11-25,359,359,1130850
S005298,P004,C02,R005,2022-08-31,2022-09-01,2022-09-01,382,382,29127.5
S005299,P020,C09,R004,2024-02-02,2024-02-06,2024-02-06,201,201,3015
S005300,P019,C10,R002,2024-12-12,2024-12-16,2024-12-16,257,257,5846.75
S005301,P020,C10,R006,2024-12-25,2024-12-29,2024-12-29,377,377,5655
S005302,P017,C02,R041,2022-10-20,2022-10-21,2022-10-21,163,163,3015.5
S005303,P006,C04,R035,2023-09-25,2023-09-27,2023-09-27,414,414,1738800
S005304,P019,C08,R028,2023-12-02,2023-12-05,2023-12-05,75,75,1706.25
S005305,P017,C07,R047,2023-12-16,2023-12-17,2023-12-17,98,98,1813
S005306,P002,C06,R032,2022-11-18,2022-11-21,2022-11-24,96,96,9456
S005307,P003,C08,R020,2024-07-07,2024-07-11,2024-07-11,98,98,4116
S005308,P012,C09,R049,2024-05-28,2024-05-29,2024-05-29,293,293,1166140
S005309,P009,C05,R022,2023-11-17,2023-11-21,2023-11-21,226,226,70060
S005310,P002,C02,R033,2024-08-22,2024-08-23,2024-08-23,344,344,33884
S005311,P014,C06,R025,2024-10-26,2024-10-27,2024-10-27,297,297,1841400
S005312,P002,C01,R031,2022-11-28,2022-11-29,2022-11-29,183,183,18025.5
S005313,P019,C01,R027,2022-05-13,2022-05-15,2022-05-15,447,447,10169.25
S005314,P010,C04,R019,2022-07-17,2022-07-18,2022-07-18,204,204,1142400
S005315,P013,C02,R047,2024-06-12,2024-06-13,2024-06-13,300,300,562500
S005316,P007,C01,R028,2023-05-05,2023-05-08,2023-05-08,87,87,274050
S005317,P002,C08,R030,2023-08-02,2023-08-05,2023-08-05,324,324,31914
S005318,P011,C06,R022,2024-06-09,2024-06-13,2024-06-13,283,283,817870
S005319,P016,C05,R045,2024-04-28,2024-04-29,2024-04-29,425,425,1411000
S005320,P001,C03,R049,2024-09-24,2024-09-25,2024-09-25,391,391,56695
S005321,P013,C03,R014,2023-09-01,2023-09-05,2023-09-05,38,38,71250
S005322,P002,C05,R024,2023-12-15,2023-12-20,2023-12-23,395,395,38907.5
S005323,P003,C10,R019,2024-01-30,2024-01-31,2024-01-31,61,61,2562
S005324,P005,C02,R030,2024-12-23,2024-12-26,2024-12-26,76,76,15960
S005325,P018,C08,R036,2024-08-25,2024-08-30,2024-08-30,80,80,2720
S005326,P011,C04,R018,2024-11-27,2024-12-01,2024-12-01,403,403,1164670
S005327,P004,C10,R045,2023-06-23,2023-06-24,2023-06-24,98,98,7472.5
S005328,P005,C02,R047,2024-02-29,2024-03-01,2024-03-01,236,236,49560
S005329,P019,C08,R029,2022-08-10,2022-08-11,2022-08-11,485,485,11033.75
S005330,P018,C02,R027,2024-09-17,2024-09-19,2024-09-19,236,236,8024
S005331,P015,C06,R029,2024-12-14,2024-12-15,2024-12-15,190,190,503500
S005332,P001,C10,R044,2024-11-20,2024-11-25,2024-11-25,485,485,70325
S005333,P015,C04,R037,2023-01-25,2023-01-26,2023-01-26,494,494,1309100
S005334,P002,C08,R050,2023-08-20,2023-08-24,2023-08-24,213,213,20980.5
S005335,P017,C04,R016,2022-10-21,2022-10-26,2022-10-26,489,489,9046.5
S005336,P005,C07,R046,2024-11-10,2024-11-13,2024-11-13,320,320,67200
S005337,P011,C06,R002,2024-04-08,2024-04-12,2024-04-12,325,325,939250
S005338,P006,C01,R001,2023-10-19,2023-10-20,2023-10-20,374,374,1570800
S005339,P004,C03,R019,2024-12-10,2024-12-11,2024-12-11,446,446,34007.5
S005340,P006,C05,R043,2024-06-05,2024-06-06,2024-06-06,37,37,155400
S005341,P014,C08,R021,2022-09-06,2022-09-07,2022-09-07,193,193,1196600
S005342,P016,C02,R009,2024-06-24,2024-06-25,2024-06-25,342,342,1135440
S005343,P006,C03,R012,2024-09-14,2024-09-16,2024-09-16,260,260,1092000
S005344,P018,C01,R002,2024-03-06,2024-03-10,2024-03-10,204,204,6936
S005345,P019,C03,R013,2024-06-13,2024-06-14,2024-06-14,38,38,864.5
S005346,P010,C10,R018,2024-04-12,2024-04-16,2024-04-20,69,69,386400
S005347,P007,C05,R027,2024-01-21,2024-01-23,2024-01-24,475,475,1496250
S005348,P006,C05,R011,2022-12-24,2022-12-25,2022-12-27,281,281,1180200
S005349,P005,C05,R016,2023-08-23,2023-08-28,2023-08-28,157,157,32970
S005350,P004,C05,R046,2023-08-17,2023-08-20,2023-08-20,443,443,33778.75
S005351,P001,C10,R022,2022-10-02,2022-10-06,2022-10-06,328,328,47560
S005352,P004,C05,R046,2023-12-09,2023-12-12,2023-12-12,338,338,25772.5
S005353,P004,C02,R039,2023-10-11,2023-10-12,2023-10-12,291,291,22188.75
S005354,P003,C05,R043,2024-04-24,2024-04-25,2024-04-27,161,161,6762
S005355,P001,C05,R027,2023-04-14,2023-04-16,2023-04-16,355,355,51475
S005356,P016,C07,R013,2023-12-24,2023-12-25,2023-12-25,484,484,1606880
S005357,P005,C06,R004,2022-08-15,2022-08-19,2022-08-19,243,243,51030
S005358,P004,C01,R015,2024-09-24,2024-09-25,2024-09-25,379,379,28898.75
