"carrier_name","carrier_tier","route_id","distance_miles","total_shipments","excursion_shipments","excursion_rate_pct"
"Metro Local Cold Courier","Tier 3","R022",1984,43,1,2.33
"MedFreeze Logistics","Tier 1","R022",1984,37,1,2.70
"Heartland Regional Rx","Tier 2","R022",1984,38,0,0.00
"ColdLine National Freight","Tier 1","R022",1984,39,1,2.56
"QuickLocal Medical Transport","Tier 3","R022",1984,43,1,2.33
"Coastal Regional Pharma Haul","Tier 2","R020",2015,35,1,2.86
"Southwind Regional Transport","Tier 2","R020",2015,34,5,14.71
"QuickLocal Medical Transport","Tier 3","R020",2015,31,3,9.68
"PharmaTrans Direct","Tier 1","R020",2015,32,0,0.00
"Palmetto Cold Freight","Tier 2","R020",2015,44,3,6.82
"NationalRx Carriers","Tier 1","R020",2015,39,0,0.00
"Metro Local Cold Courier","Tier 3","R020",2015,38,3,7.89
"MedFreeze Logistics","Tier 1","R020",2015,43,4,9.30
"Heartland Regional Rx","Tier 2","R020",2015,32,2,6.25
"ColdLine National Freight","Tier 1","R020",2015,34,0,0.00
"NationalRx Carriers","Tier 1","R010",2038,32,0,0.00
"Southwind Regional Transport","Tier 2","R010",2038,42,2,4.76
"QuickLocal Medical Transport","Tier 3","R010",2038,26,1,3.85
"PharmaTrans Direct","Tier 1","R010",2038,32,0,0.00
"Palmetto Cold Freight","Tier 2","R010",2038,38,4,10.53
"Metro Local Cold Courier","Tier 3","R010",2038,35,0,0.00
"MedFreeze Logistics","Tier 1","R010",2038,34,0,0.00
"Heartland Regional Rx","Tier 2","R010",2038,32,0,0.00
"ColdLine National Freight","Tier 1","R010",2038,40,2,5.00
"Coastal Regional Pharma Haul","Tier 2","R010",2038,30,2,6.67
"Southwind Regional Transport","Tier 2","R036",2067,93,12,12.90
"QuickLocal Medical Transport","Tier 3","R036",2067,18,1,5.56
"PharmaTrans Direct","Tier 1","R036",2067,17,1,5.88
"Palmetto Cold Freight","Tier 2","R036",2067,95,13,13.68
"NationalRx Carriers","Tier 1","R036",2067,26,0,0.00
"Metro Local Cold Courier","Tier 3","R036",2067,40,3,7.50
"MedFreeze Logistics","Tier 1","R036",2067,24,1,4.17
"Heartland Regional Rx","Tier 2","R036",2067,19,1,5.26
"ColdLine National Freight","Tier 1","R036",2067,26,4,15.38
"Coastal Regional Pharma Haul","Tier 2","R036",2067,36,0,0.00
"QuickLocal Medical Transport","Tier 3","R044",2097,35,0,0.00
"PharmaTrans Direct","Tier 1","R044",2097,24,0,0.00
"Palmetto Cold Freight","Tier 2","R044",2097,28,3,10.71
"NationalRx Carriers","Tier 1","R044",2097,36,1,2.78
"Metro Local Cold Courier","Tier 3","R044",2097,34,1,2.94
"MedFreeze Logistics","Tier 1","R044",2097,37,2,5.41
"Heartland Regional Rx","Tier 2","R044",2097,37,3,8.11
"ColdLine National Freight","Tier 1","R044",2097,32,0,0.00
"Coastal Regional Pharma Haul","Tier 2","R044",2097,30,0,0.00
"Southwind Regional Transport","Tier 2","R044",2097,37,3,8.11
"PharmaTrans Direct","Tier 1","R016",2132,14,0,0.00
"Palmetto Cold Freight","Tier 2","R016",2132,75,14,18.67
"NationalRx Carriers","Tier 1","R016",2132,15,0,0.00
"Metro Local Cold Courier","Tier 3","R016",2132,19,0,0.00
"MedFreeze Logistics","Tier 1","R016",2132,27,1,3.70
"Heartland Regional Rx","Tier 2","R016",2132,23,2,8.70
"ColdLine National Freight","Tier 1","R016",2132,16,0,0.00
"Coastal Regional Pharma Haul","Tier 2","R016",2132,18,4,22.22
"Southwind Regional Transport","Tier 2","R016",2132,82,10,12.20
"Southwind Regional Transport","Tier 2","R024",2137,45,1,2.22
"Coastal Regional Pharma Haul","Tier 2","R024",2137,41,1,2.44
"QuickLocal Medical Transport","Tier 3","R024",2137,38,1,2.63
"PharmaTrans Direct","Tier 1","R024",2137,32,0,0.00
"Palmetto Cold Freight","Tier 2","R024",2137,42,3,7.14
"NationalRx Carriers","Tier 1","R024",2137,30,1,3.33
"Metro Local Cold Courier","Tier 3","R024",2137,46,2,4.35
"MedFreeze Logistics","Tier 1","R024",2137,37,0,0.00
"Heartland Regional Rx","Tier 2","R024",2137,49,2,4.08
"ColdLine National Freight","Tier 1","R024",2137,29,2,6.90
